,makanan,kalori,protein,lemak,karbohidrat,tag_makanan
129,"Durian, segar",134,2.5,3.0,28.0,vegan buah
130,"Duwet, segar",80,0.5,0.6,18.2,vegan buah
131,"Embacang, segar",98,1.4,0.2,25.4,vegan buah
132,"Empal (daging) Goreng, masakan",248,36.2,6.9,10.1,non-vegan goreng daging olahan
133,Emping (kerupuk melinjo),345,12.0,1.5,71.5,vegan goreng keripik olahan
134,Emping beras,403,10.6,2.2,85.3,vegan goreng keripik olahan
135,Emping komak,355,17.8,4.6,60.7,vegan goreng keripik olahan
136,"Encung asam, segar",122,3.5,4.5,17.5,vegan buah
137,Enting-enting gepuk hello kity,538,13.6,30.3,52.6,vegan kue olahan
138,Enting-enting gepuk kacang tanah,524,13.3,29.2,52.0,vegan kue olahan
139,Enting-enting wijen,565,18.2,38.4,36.8,vegan kue olahan
140,"Erbis, segar",70,0.6,0.0,18.9,vegan buah
141,Es krim,210,4.0,12.5,20.6,non-vegan susu olahan
142,Fillet o-fish,270,12.3,15.9,19.3,non-vegan goreng ikan daging
143,Gado-gado,137,6.1,3.2,21.0,vegan mentah sayur olahan
144,"Gadung, ubi, kukus",88,0.6,0.3,20.9,vegan mentah umbi
145,Gandaria masak,68,0.7,0.1,18.0,vegan buah olahan
146,"Ganyong, rebus",100,0.8,0.2,23.8,vegan mentah umbi
147,"Gatep, segar",191,4.5,1.5,39.7,vegan buah
148,Gatot,347,1.3,0.7,83.8,vegan buah
149,Geblek,195,0.4,1.7,44.4,vegan buah
150,Gemblong,274,1.7,5.4,55.5,vegan goreng ketan olahan
151,Gendar goreng,407,6.4,28.2,32.0,vegan goreng keripik olahan nasi
152,Geplak,350,1.4,14.4,53.6,vegan rebus singkong olahan
153,Geplak jahe,462,3.1,24.4,57.7,vegan olahan
154,"Gete kuah asam, masakan",75,8.2,2.0,6.0,non-vegan olahan
155,Getuk goreng,360,1.3,6.4,74.3,vegan olahan
156,Getuk singkong,204,0.5,1.4,47.4,vegan olahan
157,"Gudeg, sayur",160,3.3,9.2,16.0,vegan goreng tumis sayur nangka
158,"Gulai asam keueung, masakan",52,10.0,0.5,1.8,non-vegan rebus ikan olahan
159,"Gulai ikan paya, masakan",148,10.0,9.8,5.0,non-vegan rebus ikan olahan
160,"Gulai ikan, masakan",106,16.5,3.3,2.5,non-vegan rebus daging olahan
161,Gulai kambing,126,4.2,9.4,6.2,non-vegan rebus daging olahan
162,"Gulai keumamah, masakan",110,5.9,8.2,3.2,non-vegan rebus ikan olahan
163,Gulai pakis,143,4.0,11.4,6.0,vegan rebus sayur olahan
164,Gulai pliek,176,7.3,14.9,3.2,vegan rebus sayur olahan
165,"Gulai tiram, masakan",132,9.0,7.2,7.8,non-vegan rebus jamur olahan
166,"Gurame asem manis, masakan",192,12.7,10.1,12.7,non-vegan goreng ikan daging olahan
167,Gurandil,218,0.5,2.5,48.5,vegan kue olahan
168,Ham,384,16.9,35.0,0.3,non-vegan mentah daging olahan
169,Hangop,65,10.0,1.0,3.5,non-vegan fermentasi susu olahan
170,"Ikan asar merah, masakan",146,17.7,5.9,5.6,non-vegan ikan olahan
171,"Ikan asin, kering",193,42.0,1.5,0.0,non-vegan ikan olahan
172,"Ikan bandeng presto, masakan",296,17.1,20.3,11.3,non-vegan bakar ikan olahan
173,Ikan baung bakar,144,17.8,5.8,5.2,non-vegan bakar ikan olahan
174,Ikan Belida bakar,128,18.0,3.0,7.2,non-vegan bakar ikan olahan
175,"Ikan Gabus, kering",268,58.0,4.0,0.0,non-vegan mentah ikan
176,"Ikan gete, goreng",267,23.1,19.4,0.2,non-vegan mentah ikan
177,"Ikan hiu, kering",298,46.3,3.6,20.2,non-vegan mentah ikan
178,"Ikan katombo, asin",162,31.7,2.8,0.3,non-vegan mentah ikan
179,"Ikan kayu, kering",302,70.7,1.9,0.4,non-vegan mentah ikan
180,Ikan Lais bakar,147,17.5,6.5,5.4,non-vegan bakar ikan olahan
181,Ikan Mas pepes,209,15.2,11.3,11.8,non-vegan kukus ikan olahan
182,Ikan mujahir goreng,416,46.9,23.9,0.0,non-vegan goreng ikan olahan
183,Ikan Mujahir pepes,121,21.7,2.8,0.8,non-vegan kukus ikan olahan
184,"Ikan Papuyu, bakar",152,17.6,6.1,6.7,non-vegan mentah ikan
185,"Ikan Patin, bakar",144,17.5,6.3,4.3,non-vegan mentah ikan
186,"Ikan sanggang, masakan",240,21.7,7.7,20.7,non-vegan mentah ikan
187,Intip goreng,474,7.6,21.6,62.3,vegan goreng nasi olahan
188,Jagung gerontol,156,2.7,1.3,33.3,vegan sayur olahan
189,"Jagung kuning pipil, rebus",154,3.8,3.5,28.4,vegan mentah sayur
190,"Jagung muda, rebus",142,5.0,0.7,30.3,vegan mentah sayur
191,Jagung titi,374,9.4,2.2,79.1,vegan mentah sayur
192,Jambal goreng,286,48.5,9.2,2.3,non-vegan goreng ikan olahan
193,"Jambu air, segar",46,0.6,0.2,11.8,vegan buah
194,Jambu biji,49,0.9,0.3,12.2,vegan buah
195,Jambu biji putih tidak berbiji,61,0.9,0.3,15.4,vegan buah
196,"Jambu bol, segar",49,2.3,0.2,9.6,vegan buah
197,"Jambu monyet, segar",64,0.7,0.6,15.8,vegan buah
198,"Jangang bintatoeng, masakan",107,5.3,2.2,16.5,non-vegan olahan
199,Japilus,500,1.2,25.1,67.3,vegan olahan
200,"Jeruk bali, segar",48,0.6,0.2,12.4,vegan buah
201,"Jeruk banjar, segar",61,0.8,0.2,14.1,vegan buah
202,Jeruk garut-keprok,44,0.8,0.3,10.9,vegan buah
203,"Jeruk Kalamansi, segar",39,0.3,0.3,8.9,vegan buah
204,"Jeruk manis, segar",45,0.9,0.2,11.2,vegan buah
205,"Jeruk nipis, segar",44,0.5,0.2,10.0,vegan buah
206,"Jeruk ragi, segar",49,0.7,0.2,11.1,vegan buah
207,"Jukku pallu kaloa, masakan",15,15.2,4.3,8.8,non-vegan rebus ikan olahan
208,Kabuto,250,2.6,2.5,35.4,vegan goreng singkong olahan
209,Kacang atom,533,27.8,38.1,28.8,vegan bijian
210,"Kacang belimbing (kecipir), rebus",204,16.9,8.8,17.5,vegan bijian
211,"Kacang bogor, goreng",479,12.7,23.2,58.9,vegan bijian
212,"Kacang bogor, rebus",161,7.7,2.8,27.1,vegan bijian
213,Kacang goyang,516,14.7,31.1,44.4,vegan bijian
214,"Kacang gude, rebus",147,9.0,0.5,27.5,vegan bijian
215,"Kacang hijau, rebus",109,8.7,0.5,18.3,vegan bijian
216,"Kacang kedelai, goreng",521,32.2,37.7,22.9,vegan bijian
217,"Kacang kedelai, rebus",189,20.2,8.2,12.7,vegan bijian
218,"Kacang merah kering, rebus",158,10.3,0.9,28.2,vegan bijian
219,"Kacang merah segar, rebus",144,10.0,1.0,24.7,vegan bijian
220,"Kacang mete/biji jambu monyet, goreng",629,20.4,56.3,19.8,vegan bijian
221,Kacang negara,480,18.4,19.1,58.5,vegan bijian
222,"Kacang panjang, kukus",39,3.0,0.6,7.6,vegan bijian
223,"Kacang panjang, rebus",30,2.3,0.4,5.8,vegan bijian
224,Kacang sukro,484,8.8,26.1,57.7,vegan bijian olahan
225,Kacang tanah rebus dg kulit,360,13.5,31.2,12.8,vegan bijian
226,Kacang tanah sari,561,25.5,43.8,26.0,vegan bijian
227,"Kacang tanah, goreng",564,25.5,44.4,25.5,vegan rebus bijian
228,"Kacang tanah, rebus",220,10.6,18.0,8.0,vegan bijian
229,"Kacang tolo / tunggak, rebus",138,10.7,1.1,22.6,vegan bijian
230,Kadada katembe,110,4.5,6.9,7.1,vegan rebus sayur olahan
231,"Kaholeo, masakan",413,28.7,19.8,29.8,non-vegan panggang ikan olahan
232,Kakicak,296,3.4,15.1,36.7,vegan olahan
233,"Kalio ayam, masakan",203,16.0,13.5,4.4,non-vegan goreng kaldu ayam daging olahan
234,"Kalio jeroan, masakan",163,16.5,9.0,4.1,non-vegan goreng kaldu olahan
235,"Kalio kikil (tunjang), masakan",122,13.8,5.7,3.9,non-vegan goreng kaldu olahan
236,"Kalio otak, masakan",157,8.1,8.8,11.4,non-vegan goreng kaldu olahan
237,"Kalio telur, masakan",193,10.6,12.4,9.7,non-vegan goreng kaldu olahan
238,Kambose,164,3.0,2.4,32.6,vegan sayur olahan
239,"Kangkung, kukus",30,3.2,0.7,4.7,vegan mentah sayur
240,"Kangkung, rebus",22,2.5,0.6,3.1,vegan mentah sayur
241,"Kaparende, sayur",38,2.4,2.0,2.6,vegan rebus daging ikan olahan
242,Kapurung,41,2.0,0.3,7.8,vegan olahan
243,Kapusa,158,4.4,3.2,27.8,vegan olahan
244,"Karedok, sayur",92,2.2,3.3,14.1,vegan olahan
245,"Kawista, segar",120,3.5,2.5,20.8,vegan olahan
246,Kecimpring singkong goreng,464,1.2,18.6,73.0,vegan olahan
247,Keddo bodong,290,4.6,5.7,55.2,vegan olahan
248,"Kedondong masak, segar",46,1.0,0.1,10.3,vegan buah
249,"Kedondong, segar",47,0.5,0.2,10.4,vegan buah
250,Keju,326,22.8,20.3,13.1,non-vegan olahan
251,Keju kacang tanah (peanut butter),590,27.0,49.0,20.9,vegan olahan
252,"Kelapa hutan, kering",623,2.0,52.1,36.5,vegan buah
253,"Kelapa muda, daging, segar",68,1.0,0.9,14.0,vegan buah
254,"Kelepon, kue",215,3.7,3.7,41.8,vegan kue olahan
255,"Kemang, segar",48,1.0,0.2,11.9,vegan olahan
256,Kembang tahu,380,48.9,13.8,23.3,vegan olahan
257,Kembang tahu rebus,90,10.7,4.0,4.7,vegan rebus olahan
258,Keremes,475,1.6,25.2,64.4,vegan goreng olahan
259,Kereput,580,4.8,39.6,51.1,vegan olahan
260,Keripik bayam,586,4.9,40.6,50.2,vegan goreng keripik olahan
261,Keripik gadung,446,2.8,14.5,76.0,vegan goreng keripik olahan
262,Keripik kentang,448,2.7,18.8,67.1,vegan goreng keripik olahan
263,Keripik oncom,598,8.3,43.8,42.6,vegan goreng keripik olahan
264,Keripik singkong,478,0.9,20.7,72.0,vegan goreng keripik olahan
265,Keripik singkong berbumbu,481,2.2,19.7,73.6,vegan goreng keripik olahan
266,Keripik tempe,581,12.1,40.6,41.7,vegan goreng keripik olahan
267,Keripik tempe abadi besar,556,15.8,37.1,39.8,vegan goreng keripik olahan
268,Keripik tempe abadi murni,542,40.3,42.4,11.6,vegan goreng keripik olahan
269,Keripik tempe abadi prima,540,16.7,33.9,42.0,vegan goreng keripik olahan
270,Keripik tempe abadi sedang,510,12.3,27.9,52.4,vegan goreng keripik olahan
271,Keripik tempe abadi telur,529,20.8,31.7,40.2,vegan goreng keripik olahan
272,Keripik ubi,486,0.2,23.9,67.6,vegan goreng keripik olahan
273,Kerupuk cumi goreng,444,6.9,14.6,71.3,vegan goreng kerupuk olahan
274,Kerupuk kemplang goreng,504,5.6,28.1,57.1,vegan goreng kerupuk olahan
275,Kerupuk kemplang panggang,356,9.7,1.1,76.9,vegan goreng kerupuk olahan
276,Kerupuk mie kuning goreng,476,0.1,21.1,71.3,vegan goreng kerupuk olahan
277,Kerupuk udang goreng,477,4.7,20.5,68.5,vegan goreng kerupuk olahan
278,Kerupuk urat,588,53.7,40.9,1.2,non-vegan goreng kerupuk olahan
279,"Kesemek, segar",78,0.8,0.4,20.0,vegan buah
280,"Ketan hitam, matang",181,4.0,1.2,37.3,vegan kukus ketan olahan
281,"Ketan putih, matang",163,3.0,0.4,35.7,vegan kukus ketan olahan
282,Ketela pohon/singkong kukus,153,1.2,0.3,36.4,vegan kukus singkong olahan
283,Ketoprak,153,7.9,7.7,13.0,vegan kukus olahan
284,Ketupat kandangan,109,2.2,5.2,13.4,vegan rebus nasi olahan
285,Ketupat ketan,212,4.0,4.6,38.6,vegan kukus olahan ketan ketupat
